ledger_id,archive_id,proposal_key,proposal_number,title,status,chain,project_id,project_name,proposer,proposal_executed_at,proposal_end_at,proposal_created_at,asset_symbol,asset_name,asset_kind,token_contract,recipient_address,recipient_display_name,amount,valuation_reference_at,valuation_date,usd_price_at_execution,usd_value_at_execution,usd_price_source,usd_valuation_status,source_url,canonical_url
gnars-base-63:3,gnars-base-63,0x67b6f1a6831dcd33f85a9f359f4f3c9ebf216728a77655a8d9c3cedb8b69e187,63,Dave Bachinsky » 1 Year Sponsorship Proposal ,executed,base,,,0x0bd49029735d7ca4a65dc2f45c73e44f9348fc66,2025-02-09T04:09:29.000Z,2025-02-07T04:00:29.000Z,2025-01-31T04:00:29Z,SENDIT,Sendit,erc20,0xba5b9b2d2d06a9021eb3190ea5fb0e02160839a4,0x244306053c673b93bc9885fdacfc352032725c87,0x2443...5c87,46500000.0,2025-02-09T04:09:29+00:00,2025-02-09,1.581e-05,735.165,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/63,https://www.gnars.com/proposals/base/63
gnars-base-63:2,gnars-base-63,0x67b6f1a6831dcd33f85a9f359f4f3c9ebf216728a77655a8d9c3cedb8b69e187,63,Dave Bachinsky » 1 Year Sponsorship Proposal ,executed,base,,,0x0bd49029735d7ca4a65dc2f45c73e44f9348fc66,2025-02-09T04:09:29.000Z,2025-02-07T04:00:29.000Z,2025-01-31T04:00:29Z,ETH,Ether,native,,0x244306053c673b93bc9885fdacfc352032725c87,0x2443...5c87,1.0,2025-02-09T04:09:29+00:00,2025-02-09,2632.54,2632.54,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/63,https://www.gnars.com/proposals/base/63
gnars-base-63:1,gnars-base-63,0x67b6f1a6831dcd33f85a9f359f4f3c9ebf216728a77655a8d9c3cedb8b69e187,63,Dave Bachinsky » 1 Year Sponsorship Proposal ,executed,base,,,0x0bd49029735d7ca4a65dc2f45c73e44f9348fc66,2025-02-09T04:09:29.000Z,2025-02-07T04:00:29.000Z,2025-01-31T04:00:29Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x244306053c673b93bc9885fdacfc352032725c87,0x2443...5c87,3200.0,2025-02-09T04:09:29+00:00,2025-02-09,1.0,3200.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/63,https://www.gnars.com/proposals/base/63
gnars-base-61:2,gnars-base-61,0x50c3d6c374acf40876bcc74f0086c9a7eafbe47b843e2d89f8364dec302de19e,61,Bernardo Nassar renewal propososal V2 (Bodyboarder),executed,base,,,0xd32d87e34913f7dee83a7a6faed8b6f054b97cd4,2025-02-03T22:24:11.000Z,2025-02-01T18:56:01.000Z,2025-01-25T18:56:01Z,SENDIT,Sendit,erc20,0xba5b9b2d2d06a9021eb3190ea5fb0e02160839a4,0xbc94f5266c5f78677b98238fc93d825d25abfc12,0xbc94...fc12,119569120.28725314,2025-02-03T22:24:11+00:00,2025-02-03,1.9e-05,2271.81328546,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/61,https://www.gnars.com/proposals/base/61
gnars-base-61:1,gnars-base-61,0x50c3d6c374acf40876bcc74f0086c9a7eafbe47b843e2d89f8364dec302de19e,61,Bernardo Nassar renewal propososal V2 (Bodyboarder),executed,base,,,0xd32d87e34913f7dee83a7a6faed8b6f054b97cd4,2025-02-03T22:24:11.000Z,2025-02-01T18:56:01.000Z,2025-01-25T18:56:01Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xbc94f5266c5f78677b98238fc93d825d25abfc12,0xbc94...fc12,2650.0,2025-02-03T22:24:11+00:00,2025-02-03,1.0,2650.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/61,https://www.gnars.com/proposals/base/61
gnars-base-59:7,gnars-base-59,0xc6b571680beb1745c4d0d4e21b4a857e6c501c454abf7d1ad4e84d4af76bea5b,59,Pod Media Proposal 2.0,executed,base,,,0x2feb329b9289b60064904fa61fc347157a5aed6a,2025-01-23T14:04:15.000Z,2025-01-21T04:17:17.000Z,2025-01-14T04:17:17Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb,0xe5f6...8beb,8550.0,2025-01-23T14:04:15+00:00,2025-01-23,1.0,8550.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/59,https://www.gnars.com/proposals/base/59
gnars-base-57:1,gnars-base-57,0xc4f5a1ff1e6588352e2d655dd9cdc5c796b85679c775d08050cb91f34d5e8005,57,Create a Round in Rounds.wtf for sharing Gnarly Media created in 2024,executed,base,,,0x41cb654d1f47913acab158a8199191d160dabe4a,2024-12-23T01:26:25.000Z,2024-12-20T11:38:15.000Z,2024-12-13T11:38:15Z,SENDIT,Sendit,erc20,0xba5b9b2d2d06a9021eb3190ea5fb0e02160839a4,0x41cb654d1f47913acab158a8199191d160dabe4a,0x41cb...be4a,85879900.0,2024-12-23T01:26:25+00:00,2024-12-23,3.005e-05,2580.690995,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/57,https://www.gnars.com/proposals/base/57
gnars-base-53:1,gnars-base-53,0x51e297c9264f9f3fc452400e1fe75c00b4b1939cfbb1e7a17227324662651b8b,53,Sponsor Kampala Skateboard Initiative and Bring then Online and Onchain,executed,base,,,0x41cb654d1f47913acab158a8199191d160dabe4a,2024-12-01T10:43:45.000Z,2024-11-28T07:26:19.000Z,2024-11-21T07:26:19Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x709a480188cf171b1672438e28bbec3ba2d3a68a,0x709a...a68a,4139.0,2024-12-01T10:43:45+00:00,2024-12-01,1.0,4139.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/53,https://www.gnars.com/proposals/base/53
gnars-base-52:1,gnars-base-52,0x23ed3288ba86e337a07284348ae6055bf86d927ba813dd4fd8729e0cba810d7c,52,Nico in GNARZARE Portugal V2,executed,base,,,0xdb47bd2fca1237038aa2c542f64cfe08591463c4,2024-11-11T03:21:17.000Z,2024-11-09T01:14:01.000Z,2024-11-02T01:14:01Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x4f81ca00ccadfaffa10672d863e6e6077bad3f20,0x4f81...3f20,5100.0,2024-11-11T03:21:17+00:00,2024-11-11,1.0,5100.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/52,https://www.gnars.com/proposals/base/52
gnars-base-48:2,gnars-base-48,0xab642355cbae658f5d2019d1ff9989231d5d708a0be630d1925e1d2f365e58c9,48,Pay Millz and Bagelface for their time and energy spent working on base migration and gnars frontend,executed,base,,,0x56b6dcddd5d96535c35b720c96e19939920544d8,2024-10-29T22:24:19.000Z,2024-10-27T00:06:43.000Z,2024-10-20T00:06:43Z,ETH,Ether,native,,0xc2e3df2748e4ef6e1a8322772fd7d962410c721a,millz.eth,0.2,2024-10-29T22:24:19+00:00,2024-10-29,2638.64,527.728,coingecko-html-historical-page,historical-price,https://www.gnars.com/proposals/base/48,https://www.gnars.com/proposals/base/48
