archive_id,proposal_number,title,status,chain,created_at,executed_spend_usd,vote_count,voting_power,cost_per_vote_usd,cost_per_voting_power_usd,source_url
snapshot-0x0925892015b8809cc4ab3a7030c77364657c46f64ee083eba9f4fd5c61058b9b,,"Refund Support for Film Ode to Skate with 0,253ETH -  U$1000",closed,snapshot,2024-03-13T01:13:50Z,921.75,25,730.0,36.87,1.262671,https://v1.snapshot.box/#/gnars.eth/proposal/0x0925892015b8809cc4ab3a7030c77364657c46f64ee083eba9f4fd5c61058b9b
snapshot-0x0b3d6c307f7e596892dda29cf4914598368c0b0212739081290ab6608de770cf,,Sponsor children from TPM NGO to surf,closed,snapshot,2022-11-17T22:56:20Z,555.14,25,718.0,22.21,0.773182,https://v1.snapshot.box/#/gnars.eth/proposal/0x0b3d6c307f7e596892dda29cf4914598368c0b0212739081290ab6608de770cf
snapshot-0x0e7cc997ea5cf22e91fe01456c43dbfaba221857089d9e92065e8b836cde7c05,,Shred to Earn weekly ETH contest,closed,snapshot,2022-09-06T06:14:19Z,880.66,23,546.0,38.29,1.61293,https://v1.snapshot.box/#/gnars.eth/proposal/0x0e7cc997ea5cf22e91fe01456c43dbfaba221857089d9e92065e8b836cde7c05
snapshot-0x1036e9e0f19535c72c33a218d59d59aec34690a089f04a349092e9e1cfd0c122,,Dave Bachinsky x Kevin Kowalski @ NFT NYC with Nounish and Gnars DAO,closed,snapshot,2022-06-10T05:57:17Z,3616.8,20,142.0,180.84,25.470423,https://v1.snapshot.box/#/gnars.eth/proposal/0x1036e9e0f19535c72c33a218d59d59aec34690a089f04a349092e9e1cfd0c122
snapshot-0x1353abe6679ea8aecf8505fc0a2785328adfefe358d4352d25862bd97dd2278d,,[Prop 41] Gnarly News Newsletter,closed,snapshot,2023-01-11T01:03:34Z,310.26,29,666.0,10.7,0.465862,https://v1.snapshot.box/#/gnars.eth/proposal/0x1353abe6679ea8aecf8505fc0a2785328adfefe358d4352d25862bd97dd2278d
snapshot-0x136c566b303c0d3fa920168ed461cc37d4e18ab203dd9b91c49e7c1af4af9014,,Set the stage for others to shine,closed,snapshot,2023-01-25T08:21:46Z,10965.82,18,571.0,609.21,19.204594,https://v1.snapshot.box/#/gnars.eth/proposal/0x136c566b303c0d3fa920168ed461cc37d4e18ab203dd9b91c49e7c1af4af9014
snapshot-0x1f626537f05b054c5f5f3e3ad4438606b748234bed9ea5d8d6301b1a2ac26ee2,,Sponsor Taylor Elliot and McKenna Brown (snowboarding and skiing) w. 3 ETH each,closed,snapshot,2022-09-20T02:58:01Z,3882.24,22,458.0,176.47,8.476507,https://v1.snapshot.box/#/gnars.eth/proposal/0x1f626537f05b054c5f5f3e3ad4438606b748234bed9ea5d8d6301b1a2ac26ee2
snapshot-0x1fbdefc05981d023894a3198e407911800e85d89222cb12e453611d1a953c0e2,,Sponsor Ashanti Maurice and Tyler Nelson w/ 3 ETH for That’s Gnarly IRL Activation,closed,snapshot,2023-03-01T08:56:57Z,4689.69,20,455.0,234.48,10.307011,https://v1.snapshot.box/#/gnars.eth/proposal/0x1fbdefc05981d023894a3198e407911800e85d89222cb12e453611d1a953c0e2
snapshot-0x27c109216d227ccc3fa01bb4fdf864d5aa0bd54be5a33ae7015816ed62ee3703,,0.35 ETH additional funding for 'GNARS'ly' video part,closed,snapshot,2023-03-19T08:18:32Z,766.48,26,408.0,29.48,1.878635,https://v1.snapshot.box/#/gnars.eth/proposal/0x27c109216d227ccc3fa01bb4fdf864d5aa0bd54be5a33ae7015816ed62ee3703
snapshot-0x30847f96110952ed83c1aa78c09b5cc11ef1076614560efd29de73e8b9b18894,,Luiz Hadad (Surfer) | Travel grant proposal: Indonesia | 2 ETH,closed,snapshot,2023-06-27T17:56:24Z,3849.14,22,588.0,174.96,6.546156,https://v1.snapshot.box/#/gnars.eth/proposal/0x30847f96110952ed83c1aa78c09b5cc11ef1076614560efd29de73e8b9b18894
