record_type,record_id,kind,label,source,target,status,size,asset_symbol,weight,count,href,metrics_json
node,person:0x07ef0d75c2a7a7ebc2ee8d449efd8542abd53a8c,person,0x07ef...3a8c,,,active,20.93,,,,/community/0x07ef-3a8c/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x08ee81c0e9c591c65ae8b373bf30b784fd2498c8,person,0x08ee...98c8,,,active,34.79,,,,/community/0x08ee-98c8/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 7, ""proposals_authored"": 0}"
node,person:0x092cff73c77a9de794d25b0088ded0e430733dbb,person,0x092c...3dbb,,,active,20.93,,,,/community/0x092c-3dbb/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x094caeab8e12ee7596f10c096c597eaab05e3b30,person,0x094c...3b30,,,active,43.44,,,,/community/0x094c-3b30/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 14, ""proposals_authored"": 1}"
node,person:0x0959d32b849f65742235a4be9b0112c87dfdfc3b,person,0x0959...fc3b,,,active,14.0,,,,/community/0x0959-fc3b/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x099ef206007e2176a4b221a6a4425bedfc9fa145,person,0x099e...a145,,,active,14.0,,,,/community/0x099e-a145/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 0, ""proposals_authored"": 0}"
node,person:0x09c1e2b7fe1a5d3d4e75d545e69bf5f2b9de30b3,person,0x09c1...30b3,,,active,20.93,,,,/community/0x09c1-30b3/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 1, ""proposals_authored"": 0}"
node,person:0x09ca6926f0a1fa30ddc04710db2d89ec0d73b608,person,0x09ca...b608,,,active,31.92,,,,/community/0x09ca-b608/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 5, ""proposals_authored"": 0}"
node,person:0x09d57f361f794d150c04443a7b6e369120dc2bea,person,0x09d5...2bea,,,active,37.03,,,,/community/0x09d5-2bea/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 9, ""proposals_authored"": 0}"
node,person:0x09e938e239803c78507abd5687a97acfea1188ea,person,0x09e9...88ea,,,active,43.96,,,,/community/0x09e9-88ea/,"{""eth_received"": 0.0, ""usdc_received"": 0.0, ""gnars_received"": 0.0, ""active_votes"": 7, ""proposals_authored"": 3}"
